,company,headline,date,overall_rating,author_position,pros,cons
0,Akraya,Akraya is a great place to work.,2022-03-25,5.0,Account Manager,"Down to earth and friendly leadership team.
Growth opportunities.
Plenty of platforms to make yourself heard.
Akraya walks the talk. Akraya not only encourages its clients to hire women returners, but it also gives opportunities to returners by hiring them internally.",Nothing that I have come across so far.
1,Akraya,Great company values and culture,2022-03-10,5.0,Account Director,"I'm enjoying my sales role here at Akraya and very appreciative of the team we have here. Everyone is very supportive and they bring such a great attitude to the work they do and their role. I love the accountability everyone has and the focus of this company. Coming from a much larger company, it was refreshing to land at a smaller firm that thinks big and delivers. I appreciate the flat org structure and how accessible senior leadership is, including the CEO and Co-Founder.",Typical challenges exist at Akraya which many staffing agencies are facing at this time where recruiter talent is in high demand and in short supply and there are more job openings than qualified candidates which can make placements challenging and sometimes stressful. I wish the benefit package was stronger with respect to 401k matching at the start of employment and health plan options.
2,Akraya,Great Staffing Agency,2022-03-22,5.0,Senior BI Analyst,"Akraya is one of the best Staffing agency that I ever had a pleasure to work with.
The whole process of connecting, preparing for interviews and negotiating with hiring manager was smooth and professional. now that my contract is coming to an end, I like to express my gratitude and appreciation to Akraya's staff and management.",I have not seen anything negative here.
3,Akraya,Great Place to Work,2022-03-04,5.0,Finance Director,Akraya cares about its employees and is always looking to improve the culture as well as the benefits as we continue to grow. Employee feedback is taken seriously and often leads to the implementation of new policies and programs. I also know I can rely on everyone I work with to take ownership of their responsibilities and help others when needed.,The company is growing fast which can lead to heavy workloads at times. But we are hiring and filling roles to address this.
4,Akraya,Persistent and Hard Working,2022-03-26,4.0,Contract Administrator,Very supportive. They follow up on your work and encourage you along the way.,Onboarding technology needs some work. Not all digital forms work well.
5,Akraya,Very professional,2022-03-11,5.0,Lab Technician,"Very professional staffing 
Mukul is very polite and professional",There are no cons none
6,Akraya,A great place to work,2021-09-24,5.0,Marketing Manager,"I recently joined Akraya and found the on-boarding process immersive. The entire process is designed to get to know the company, learn key skills and understand the mission and goals of the company. I have not experienced this with any other company till now.

Getting to know the way a company works and being in tune with the culture and goals of a company is very important for any employee and Akraya does a very good job about it. 

I am not only impressed by the weekly update meetings which gives an insight into what's going on in the company but also feel that the culture of recognizing everyone's work regularly shows that they give respect and appreciation to every employee. 

The founder and the president listen ardently to everyone's inputs and have a compassionate approach.

They have a hybrid model of work which means they care for work-life balance of their employees and offer them flexibility to manage it. I like the work culture as I get the freedom to be creative and able to implement my ideas.

Overall, I have found a company which works together as a team to reach its goal.",So far I have not found any downsides.
7,Akraya,Excellent place to work for!,2022-02-03,5.0,Anonymous Employee,"Akraya is an excellent place to work for as learning and growth is highly emphasized here. I have been very happy as I found myself growing in my career. Company culture is positive, and everyone works here with sense of urgency.",Nothing that I can think of.
8,Akraya,Best place to work!,2022-02-02,5.0,Senior Vice President Business Development,I have happily celebrated my 1 year anniversary with Akraya. It's wonderful to be part of a team that truly embrace their core values from the top down. It is an absolute pleasure being part of something so special!,I don't have any Con's to share.
9,Akraya,"Well connected, supportive personnel",2021-12-13,5.0,CyberSecurity Engineer,"Everyone I've dealt with is courteous and very supportive.
They have a working , compliant back office system --which says something.
I submitted expensesthat WFH employees at an end-client are compensated for. The contract did not include expenses. Akraya made an exception and paid them anyway.","When I was originally contacted, I thought the message was a phishing attack, because their talent acquisition process of reaching out was not up to security standards. Still, I did reply and was thankful I did."
