,company,headline,date,overall_rating,author_position,pros,cons
0,LogicMonitor,The Place To Be...,2022-03-08,5.0,Partner Account Manager,"- The people are welcoming, humble and very talented. 
- Positive, work life balanced culture.
- Training and tools second to none.
- Great welcome pack and equipment to do your job. 
- Great product and ambitious company.
- Transparent talent team. 
- Very well compensated.
- Flat structure with an open door policy.
- Trendy offices - and you can bring your dog!
- Lots of company events and activities to participate in - if you want to.","- Stocks, although there is a stock incentive program available."
1,LogicMonitor,Great Company,2022-03-29,5.0,Anonymous Employee,"Good work/life balance
Solid managers & AEs",401k matching is somewhat low
2,LogicMonitor,"Great Culture, Less Than Desirable Pay",2022-03-15,3.0,Software Engineer,"LogicMonitor has a great work life balance and the culture is also great. While the pandemic put a hold on lots of the in-office activities, people near the offices still have that benefit available to them. Lots of learning opportunities if you're willing to put in the extra time.","The pay is less than desirable. Many of my friends that have been around for years are leaving for jobs with 50% - 100% more pay. C level management seems to be brushing off the topic with no clear plan on how they will keep their employees. Valuable knowledge is lost in the process as new employees come in but senior members leave.

Stock incentive program is not clear at all with no clear picture as to what the actual worth of the stocks are. Newer employees are also getting less of it which is a shame. Eventually they will realize it's not worth as them made it seem.

Insurance plans keep getting more expensive year by year if you're covering family members.

Employees hired before 2021 are really feeling the pain of inflation, as they make less now than they did back when they were hired. With rising costs in living, transportation, food, this is not offset for existing employees. Existing employees are finding out how new hires are making more than they are as seniors.

Remote workers feel left out from the day to day activities that the different offices benefit from. If you were hired as a remote employee, you might be out of luck here."
3,LogicMonitor,Amazing Experience,2022-03-04,5.0,"Program Manager, Customer Experience","I recently began my journey here at LogicMonitor, and my entire experience, from the interview process, to the onboarding, has been nothing short of amazing!  I've never experienced something so positive and encouraging!  The communication has been on point!  Everyone has been so helpful, kind and welcoming!  And the organization of the entire process has been more than I could hope for!  It's truly a breath of fresh air to feel a part of such an amazing ""family""!!  I'm excited beyond belief to be a LMer!!  :) ",None to my knowledge!  It's an amazing place to work!
4,LogicMonitor,Shell of what used to be one of the best in Austin,2022-02-03,3.0,Senior Analyst,"The lower level management really cares about their teams
LM is growing at an insane pace which does create some opportunities","Every 5 star review in the last year is either a New Hire being told to give 5 star review in orientation process or Managers trying to push the score up. Do not believe them. LM is not a horrible place to work but it is nothing compared to what it used to be

LM has lost most of its C level staff including the CEO and the ones here were not the ones with vision for the company. 
Very unorganized due to uncontrolled systems in the process of extreme growth. No plans on the company plan in 2022 to address any of these issues. Literally caused the entire data quality team to quit

Overall, LM is likely in the process of going public in the next year which is causing them to set extremely aggressive goals while not ever improving existing processes."
5,LogicMonitor,"Diverse, Inclusive Leadership Team",2022-03-09,5.0,Manager,"Most gender balanced leadership team in tech!
Inclusive culture, good product, hyper-growth, on track to IPO",hyper-growth could mean demanding workload
6,LogicMonitor,Great Company to work for,2022-03-17,5.0,Project Manager,"Awesome benefits, good work-life balance, amazing coworkers, great pay",Growing fast so some pains but that comes with the territory. Nothing unmanagable
7,LogicMonitor,The best culture I've ever seen at a company!,2022-02-17,5.0,Talent Acquisition,"-Tons of room for growth
-Transparency and clear communication from all members of leadership
-An engaged and excited team at the C-level that trickles down to everyone
-True work-life balance with flexibility to set our own schedule throughout the day
-A beautiful office space with tons of perks if you choose to go on site!
-Intelligent and driven colleagues 
-Diversity and inclusion is important to EVERYONE here","-If you work on-site in Austin, you'll have to pay for parking or use public transportation"
8,LogicMonitor,Great place to work.,2022-03-28,4.0,Deal Desk Analyst,Open minded culture. Lots of room to grow. Great people.,Fast paced and sometimes hectic. Changes happen faster than management can respond. Normal problems of a hyper growth company.
9,LogicMonitor,"RUN, don't walk",2022-01-11,2.0,Anonymous Employee,"The people who have been around for more than a year are generally great people and a lot of fun to work with. Unfortunately, there aren't a whole lot of them left.","Over her year as President, the new CEO made no effort to learn how the business was run, being caught listening to podcasts during important meetings, throwing out platitudes and clichés left and right, and ruining what used to be a great, high-growth company.

The culture has become nothing but politics, and they haven't had a full executive team since last summer. Turnover is incredibly high across all levels, and it's due to lack of leadership + her chief of staff being inexperienced and arrogant, a dangerous combo.

If you're thinking about working here, go to Datadog or Dynatrace instead. And don't let the vague, positive reviews fool you - they encourage everyone to do one during onboarding, to drown out the noise of their bigger issues..."
10,LogicMonitor,Great opportunity,2022-02-22,5.0,Software Engineer,It's bets platform for the self growth.,Not anything is cons in Lm
11,LogicMonitor,"Great company, great growth.",2022-02-08,5.0,Account Manager,"Decent pay, reasonable hours, intelligent team.","No equity, poor 401k match"
12,LogicMonitor,Great place to work,2022-01-12,5.0,Sales Development Representative (SDR),"Culture is great, leadership is great, sales team is great, leader in the space.","Complex product, a lot of work, a lot to learn but all of these sets one up to be successful. Expensive product but justified by the value provided."
13,LogicMonitor,GREAT company,2022-01-06,5.0,Web Developer,"Excellent benefits, casual but hardworking atmosphere, great product, and down to earth leadership. They are very supportive and offer many learning opportunities to accelerate your career. They have it together.",There are no cons so far. I wish I would have joined the company sooner.
14,LogicMonitor,Best Company Ever!,2021-09-14,5.0,Sales Operations Analyst,"I targeted LogicMonitor for a couple years knowing how amazing they were and am so happy to now be part of the company. During the interview process, they worked to find a position for me that they thought I would be the happiest and most successful in. They actually hired me for a higher level position than the one I applied for. This really spoke to how much the company sees potential in people and wants its employees to be happy. The company has amazing perks and benefits, they just ask that you work hard, which is not hard to do when you believe in the company and are treated so well. I love the downtown location. The view is amazing and it's close to so many shops and restaurants! The company is experiencing astronomical growth and is scaling very well.",None so far! The company does everything it can to ensure its customers and employees are happy.
15,LogicMonitor,Great Company,2022-01-11,4.0,Account Manager,"- LM a genuinely stellar platform. I believe we are the most innovative monitoring company in the market
- Amazing team mentality
- Ability to move up within the organization. LM promotes from within for those that are willing to put in the work and don't shy away from challenges","- Lack of real transparency on the direction of the company from leadership
- Inability to live up to our promises from a product standpoint (this is occasional, but it happens and results in unhappy customers)"
16,LogicMonitor,BDR,2022-01-21,5.0,Anonymous Employee,"Great culture, standards, and compensation.",I have no bad reviews
17,LogicMonitor,Awesome company to work in!!!!,2022-01-14,5.0,Staff Software Engineer,"Work life balance
Good pay
Good Management",Nothing I found yet 🙂
18,LogicMonitor,Great Company - takes a while to move up,2021-12-02,5.0,Sales Development Representative (SDR),"- Great benefits
- Great Product to sell
- Great culture",- regardless of performance takes 6 months to get to senior role(the top performer at 240%+ in first quarter is in their second quarter and still is not a senior)
19,LogicMonitor,good,2022-02-11,4.0,Anonymous Employee,This is a good company,Not as good as some other
20,LogicMonitor,Culture,2022-02-10,4.0,Anonymous Employee,Good work culture and nice office.,None particularly come to mind
21,LogicMonitor,Sales Operations Analyst,2021-12-13,5.0,Sales Operations Analyst,"- Friendly team
- Great benefits 
- Help to find a spot you will do well in","- Long hiring process, but not too bad!"
22,LogicMonitor,SDR,2021-12-24,5.0,Sales Development Representative (SDR),"-Great culture
-Great support 
-Great everything",To be honest nothing too much
23,LogicMonitor,Sales Developer,2021-10-27,5.0,Interviewee,"I went through the interview process for a Sales position with Chandler Boyd, immediately knew this would be a great place to work. She was very professional, warm personality. She did a great job of painting a picture of what it’s like to be apart of LogicMonitor!","None to give. This is a great company, great tools to be successful in Sales."
24,LogicMonitor,"Great perks, inconsistent management",2022-01-10,3.0,Site Reliability Engineer,"Fairly good salary compared to market
Great office and job perks
Relaxed environment","Poor and disoriented management strategy in all directions
Lack of product vision and growth"
25,LogicMonitor,Seems to be a Fantastic Place to Work,2021-11-02,5.0,Sales Engineer,"Open communication on goals and objectives
Team discussions on what's happening and what's next
Every team seems to reach across the isle when assistance is needed
Ability to move around the company trying different positions that best suit your strengths","To soon to tell - but so far, nothing!"
26,LogicMonitor,SDR Role,2021-11-19,5.0,Sales Development Representative (SDR),"-Great company culture
-Everyone is incredibly nice
-Access to all of the best resources",-Most people struggle to hit quota
27,LogicMonitor,Great Company to work for!,2021-11-07,5.0,Sales Development Representative (SDR),Lots of perks and great benefits! Work from Home available as an option.,Haven't ran into any yet. We Shall see what the future holds!
28,LogicMonitor,Dynamic Company with Exceptional Employee Experience,2021-06-15,5.0,Senior Director of User Experience,"Excellent working conditions -- all the initiative you want to get exciting stuff done. Lots of acquisitions, with opportunities to grow the product quickly and get new people and new thinking on the team. A very diverse workforce, with special diversity programs and exceptional employee support. Excellent benefits, remote work, unlimited vacation. Company leadership has a clear vision and the managers have the ability to make decisions quickly and execute fast. Some of the most complex and interesting UX work I've had the privilege to ship in 21 years I've been in the industry, and fantastic partners (artisans not aholes) to help make the product exceptional.","The nearest office is Santa Barbara, which is hard to fly into. So if you want to see people face to face it can be a chore."
29,LogicMonitor,Great Onboarding Process,2021-10-26,5.0,Sales Development Representative,"-Everyone is super friendly
-Everything is streamlined and organized
-Great support from everyone
-Great culture",None at this very moment
30,LogicMonitor,positive environment,2021-12-29,4.0,Anonymous Employee,growing company with supportive environment,might be growing too fast...
31,LogicMonitor,"Fast paced, good culture",2021-06-28,5.0,User Experience Designer,"- Good health insurance and 401K match as well as unlimited PTO
- The Product department moves quickly so you will get to see your work developed and out to customers after only a few months
- My team has great mentorship experiences (I feel I get good mentoring from my manager as well as the opportunity to mentor associates and new hires)
- Fun culture (lots of company activities if you are interested in participating) and progressive company politics","- Mid size tech company experiencing growing pains (everyone feels a bit stretched thin)
- Our product isn't up to par with our biggest competitors yet"
32,LogicMonitor,Growth = Opportunity,2021-03-02,5.0,Team Lead,"Fantastic management in my team. They genuinely care about your success and want to give you the tools to win. Amazing culture and a company that stands by their stated cultural pillars. That being said, success is not handed over or supremely easy to achieve. Hard work and dedication are a must. Great benefits, top level tools, incredibly differentiated product that truly competes in an innovative market. Lots of diversity initiatives and opportunities to grow and develop your career with workshops and stipend.","Lots of change and growth, processes are always a bit in flux, and responsibilities can be a bit ambiguous. This really can be seen as a pro for those who want to step up, go outside their comfort zone and contribute, as those who do are typically rewarded. But if you value having a very strict set of expectations, rigid responsibilities, and just want to show up, collect your check, and not worry about anything but that, you might see it as a con."
33,LogicMonitor,Great Interviewing and Onboarding,2021-09-01,5.0,Senior Software Engineer,"I'm in the first week here and so have had a wonderful experience with the onboarding process. I have learned a lot about the company already and can see this as a place that I will fit right in. 

Great culture, flexible time off policy, inclusive atmosphere, stock incentive program, career growth opportunities, etc...",None at this time to share...
34,LogicMonitor,Great Culture,2021-12-08,4.0,Sales Development Representative,It is a very laid back and welcoming community. eveyone is there to help you and build you up,Pay could be a little more competitive
35,LogicMonitor,Detail-Oriented Onboarding and Focus on Company Culture,2021-03-04,5.0,Customer Success Manager,"The onboarding was very structured and organized. They do a good job of helping you get setup with all systems and have numerous training and career opportunities. It is clear from the beginning that LogicMonitor (LM) focuses on Culture, Inclusion and Diversity. 
Benefits are great: You get unlimited holiday, a $150 stipend per month as part of the ""Harmony Bonus"" program to be spent on personal health and/or growth, and so much more!
Great company for someone who is new to an area and looking to meet people and be more social as they have a lot of social groups and events outside work. 

Bonus: They have a BYD program- That's Bring Your Dog to work. I haven't tried it yet, but will definitely consider when offices open back up.",The 401(k) match is much less than a lot of similar companies in the SaaS industry.
36,LogicMonitor,Wow!,2021-09-01,5.0,Talent Acquisition,"Truly the best company I have worked for. LM values its employees, benefits/comp are second to none, managers and team members are incredibly supportive, everyone I work with (whether directly or indirectly) cares to help others succeed. I can't say enough good things about working here!",Honestly cannot think of anything.
37,LogicMonitor,A company you can grow with!,2021-09-08,5.0,"Account Executive, Enterprise","Training provides sturdy foundation for expectations and allows you to become emotionally invested in your work from day 1.
Incredible culture with a true Team mentality.
Fantastic & Capable product in a fast growing market.
Resources and tools are top notch.",None that I can think of
