,company,headline,date,overall_rating,author_position,pros,cons
0,Couchbase,Great salaries and Benefits,2021-09-13,5.0,Senior Recruiting Manager,"Team Environment, everyone at Couchbase is invested in growing the company and promoting the product. Remote positions, lots of flexibility.","None to speak of, great place to work."
1,Couchbase,Very good,2022-03-24,5.0,Manager,"Very good atmosphere. Professional, happy","Tough work hours, not very benefut"
2,Couchbase,Please don’t fall for this company,2022-03-29,1.0,Sales,There are zero pros to this company,"Why can candidates not respond to a Glassdoor response by the company, when they are blatantly lying? Your leadership does not follow the pillars that you say all employees do. You have managers tell the rest of his team that this employee is quitting when he never mentioned quitting at all. Then you have HR say this person was fired for bad performance but this person wasn’t there long enough and didn’t even have KPIs to reference. Your company treats employees like garbage and mainly your management. Your stock is down 30%+ and Mongo is down half that? Please consider why. They try to go against Mongo but Mongo still wins. 22 net new customers they say they got last quarter that maybe pay or are just using the free version. This company has 150 paying customers total, over what 12 years? Ask yourself why? Why do they bring in leadership from oracle that have no idea what startup even means? Why does a manager live on an island and make excuses not to meet his own team, why? They will tell you a bunch of lies but that’s all it is. Never have I dealt with so many unprofessional people in my life. They don’t deserve anyone. No one is selling anything here. The few that are is all upsell. Run far away from this fire."
3,Couchbase,Amazing Culture with High Performers Everywhere,2022-03-15,5.0,Director,"+ Trust: productivity is high among people to get work done
+ Autonomy: enabling people to do their best work and bring their expertise to life
+ Learn by Doing: define the problem and ideal state, make a decision, evaluate/measure/iterate","- 401k match could be higher, but still great they do something"
4,Couchbase,"Great communication, not a painless process",2022-01-21,5.0,Director of Product Documentation,"The talent team (Sarah) was great to work with - excellent communication, great transparency, and a real passion for the company.

All of the folks I interviewed with were very prepared, with great questions and a clear idea of what they were looking for in the role.","I was a bit doubtful about providing a presentation as part of the interview process, but I'm glad I did. It's a bit of work, and I don't generally like providing work product as part of an interview process, but in the long run it helped each of us see where the other was coming from, and made me more confident that I would have the support I needed to succeed."
5,Couchbase,"Recommend, go for it!",2022-01-23,5.0,Technical Support Engineer,"I have been working for Couchbase for some time now and I enjoy every moment of it. 
During an initial interview, everyone was extremely nice and attentive. Somewhere at the back of my mind, I was thinking that it would change once employed, but it did not. The company makes a point of creating a positive and friendly environment, which only benefits overall success",The cons that come to mind are rather related to the specific people than the company itself
6,Couchbase,"Great company to work for. Very supportive, with freedom to take on new challenges.",2021-12-17,5.0,Anonymous Employee,"- Great products
- Smart and hard-working people
- Flexible work-life balance
- Lots of remote staff (it's about delivering, not where you are)
- Excellent Executive team","As a fast-growing company, sometimes there are not the formal processes in place you see at larger companies. Standard growing pains really."
7,Couchbase,Great company culture,2022-01-18,5.0,Senior Accountant,"*Growing company
*Great people to work with
*Good compensation",*Brand recognition is not as good as some companies in the Bay Area
8,Couchbase,A place where your contributions will be valued,2021-08-20,5.0,Business Development,"Couchbase created a company culture that will be at the foundation of its success. Since joining the company I experienced a constructive and collaborative environment where people want to help you succeed. The focus is on teamwork and how we win together. All this starts at the top with a clarity of vision where the company is going and what it expects of its people. If you get a chance to join this company, I would say take it.","There is a massive opportunity for Couchbase to grow in a market that is in full transition. Different people will have different perspectives on how to go about it. You need to feel comfortable speaking up and be part of the solution, rather than expecting everything will be done for you."
9,Couchbase,Great Company,2022-01-05,5.0,Cloud Sales,Strong product offering. Fantastic working environment,Natural pains of a high growth company
10,Couchbase,Couchbase SDR,2021-12-14,5.0,Sales Development Representative (SDR),Great place to develop professional sales experience and fantastic work environment,No complaints from the SDR perspective
11,Couchbase,Leadership not in the hands of US Management,2022-01-24,3.0,Technical Support Engineer,Good people and good work environment in HQ,Leadership driven by just the UK team
12,Couchbase,Amazing Teams and opportunities,2021-11-27,5.0,Anonymous Employee,"Constantly Growing
Teams & people are amazing
opportunities to grow are there","lower on the pay scale
slower moving"
13,Couchbase,A very warm workforce,2021-11-12,5.0,Anonymous Employee,"Everyone is so easy to connect with regardless of team or title
Leadership trusts team to pursue creative ideas","Honestly, there were no standout cons"
14,Couchbase,Look Before You Leap,2022-01-03,1.0,Enterprise Account Executive,"Great field sales, technical, services and product teams
Good NoSQL database product
 Work from home","Extremely high field sales & solution architect turnover
Daily & weekend micro management
Reach out to former employees to get the real deal"
15,Couchbase,A friendly race car...,2021-06-10,5.0,Lead User Experience Designer,"People are hired at Couchbase -- across the board -- because they are smart, motivated, and friendly. Sound silly? It's not. We have work life balance and a collegial workplace where NO ONE is granted the special right to be an blowhard/bully/etc. Friendly means we work together and it's enjoyable; conversations are productive and easy.",Couchbase is much smaller than its competitors. That means we don't have the bandwidth to do everything we might want to. The upside is you get to choose what to work on and you more or less define your own role.
16,Couchbase,Good Culture,2021-09-20,5.0,Anonymous Employee,Leadership is relentlessly innovating to best service our current and future customers andd the best part is our customers love us back! It’s a win-win!,No Con. 5 word minimum…
17,Couchbase,Great salaries and Benefits,2021-09-13,5.0,Senior Recruiting Manager,"Team Environment, everyone at Couchbase is invested in growing the company and promoting the product. Remote positions, lots of flexibility.","None to speak of, great place to work."
18,Couchbase,Great company and great culture,2021-09-01,5.0,Sales Representative,Strong software with extensive and complicated use cases. The software works and is poised to take over where Oracle fell short.,No company is perfect but this is a great place to work.
19,Couchbase,Great people doing amazing things to drive digital transformation with our modern database!,2021-07-19,5.0,Human Resources,World-class talent and teams. We live Our Values. Amazing products built by the brightest minds in the database world to solve the gnarliest problems our customers can throw at us. Our customers.,Market awareness in a crowded but MASSIVE space has been hard but will get better soon!
20,Couchbase,"Growing pains, disorganized, boys club, good people",2021-04-23,3.0,Account Executive,The Couchbase product is very hard to beat and consistently wins in head to head competitions. The people running the company have good intentions for the most part. The outlook for the product is great. Autonomy in roles and unlimited PTO are plusses for sure.,"Brand awareness makes sales and growth very difficult. Couchbase is clearly a boys club and isn't very diverse. Efforts to improve DEI are met with resistance. While the outlook for the company is good, there are huge growing pains that need to be resolved to meet the metrics the board and leadership want to see. When a whole team fails, you can't just blame the team."
21,Couchbase,Outstanding place to work.  Practices what they preach,2021-01-22,5.0,Business Development Executive,"Great company with great culture and great products. From a fantastic CEO all the way down, every person here treats you with respect and every person tries to help. Very customer focused company with a very keen eye on employee satisfaction. The company really emphasizes that the employees should be good humans first, and that is visible at every level. Don't know how this is not a perennial best place to work company.","Since the company is in a fast growth path, there might be a bit of little company syndrome when competing against others (from some employees). We really do have the best and most functional products out there. In my opinion, this company will be the success story that others talk about in a couple of years."
22,Couchbase,Couldn’t ask for a better company!,2021-07-19,5.0,Senior Director,"Full transparency, no politics and faith and belief from the executive staff that you’ll get the job done without micromanagement.",Need more than one community lunch per week.
23,Couchbase,Great place to work and grow,2021-07-09,5.0,Senior Sales Engineer,Great leadership and product management team with their head in the right place. Very nurturing and friendly work place. What you see is what you get which is a refreshing change in today's world.,Aggressive marketing is required to put the product where it belongs - on the top of every list.
24,Couchbase,Couldn't have chosen a better company!,2021-07-20,5.0,Anonymous Employee,"Everyone is extremely technical with lots of learning opportunity
Great technology to work with and everything moves fast
Excellent culture and friendly environment
So much potential as a product and company",Not a real 401K % match at the moment
25,Couchbase,"Great company, product, people and culture.",2021-06-08,5.0,Anonymous Employee,Joined Couchbase a little over 5 months ago and have loved it. The people and culture are great. Everyone eager to do what's right and help where they can. Very customer centric. Product works as advertised and customers love it. High growth company with huge upside.,"Some process issues with sales lead flow, etc. Minor issues that will get worked out with some adjustments and focus on the issues."
26,Couchbase,Good company but bad middle management,2021-08-26,2.0,Anonymous Employee,"Company has promising outlook, modern tech.","Some middle managers are obsessed with complete control of all technical aspects, treating new projects as their own path to glory. 

Upper management is probably aware of those issues (not the least due to high turnaround and negative exit surveys) yet is overlooking and not interested in stepping in to fix things."
27,Couchbase,Amazing work culture,2021-07-11,5.0,Principal Developer Advocate,"Nice people
Ability to explore your career
Good pay
Great Benefits and Bonus Options","Not a publicly traded company yet
Very innovative space and fast paced"
28,Couchbase,Joining Couchbase was a good decision!,2021-07-19,5.0,Senior Director Engineering,"- excellent and motivated engineers
- respectful and constructive discussions (always!)
- great (and lived!) values","- agressive timelines
- demanding tasks
- too little slack"
29,Couchbase,Could not be happier,2021-04-21,5.0,Enterprise Sales Representative,"Great Technology, Great Culture, Great Values, Great Management, and Great people. Provided all the sales tools and marketing support to be successful and onboarding is extremely smooth and enjoyable even during the pandemic. Very happy to play a part in taking Couchbase to the next level. Lastly our solutions work !","Nothing except missing out on the opportunity to meet all my peers and management in person due to the pandemic, but everyone is doing their best virtually."
30,Couchbase,Great Company to work for!,2021-07-19,5.0,Anonymous Employee,"Great Culture, Huge Potential for Growth, Sky is the limit!",The company has had challenges keeping up with competition. Not sure why.
31,Couchbase,Great company - growing fast!,2021-06-25,5.0,Anonymous Employee,"Really smart colleagues, solid revenue stream, growing market share, international presence, massive potential for the future and we just filed for IPO!",Onboarding should be more comprehensive
32,Couchbase,"Best Database Platform in the Market (NoETL, NoDW, NoEqual).",2021-06-22,5.0,Territory General Manager,"World class organizations switch to Couchbase when other vendor's can't provide a solution. 
Excellent customer satisfaction.",Few years in the market.
33,Couchbase,"Great Tech, can't Market",2021-08-09,3.0,Enterprise Sales,"Good tech, Good people. The engineering team is top notch, some of the other business units not so much.","Can't market, changed almost all of the executive team. Too late to Couchbase as a Service."
34,Couchbase,Great company to work for,2021-07-13,5.0,Account Executive,"Culture, Product, Teaming, Customers, E-staff",Market awareness for the product
35,Couchbase,Outstanding company and culture,2021-06-30,5.0,Chief Marketing Officer (CMO),"Fantastic technology, great customers, people and culture.","Slower to the cloud, but coming. Less awareness than others in the space."
